
Práctica de actividades deportivas
Personas según la frecuencia con la que practican deporte en el último año por sexo, edad y situación personal.
Unidades: En porcentaje

,En % de la población de cada colectivo,,,,,En % de los que practican deporte de cada colectivo,,,,,
,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,
TOTAL,53.5,19.5,46.2,51.0,52.3,100.0,36.4,86.3,95.3,97.8,
Hombres,59.8,21.8,50.4,57.0,58.4,100.0,36.4,84.3,95.2,97.7,
Mujeres,47.5,17.3,42.1,45.3,46.6,100.0,36.5,88.6,95.4,98.0,
De 15 a 19 años,87.0,38.1,81.5,85.9,86.7,100.0,43.8,93.7,98.8,99.7,
De 20 a 24 años,78.2,34.6,71.0,76.0,77.1,100.0,44.3,90.9,97.3,98.7,
De 25 a 34 años,72.6,26.7,62.5,69.9,71.5,100.0,36.7,86.0,96.2,98.4,
De 35 a 44 años,64.6,21.0,54.0,61.1,63.1,100.0,32.4,83.5,94.5,97.6,
De 45 a 54 años,53.2,16.7,44.9,50.2,51.7,100.0,31.4,84.4,94.4,97.3,
De 55 a 64 años,44.5,15.8,37.4,41.5,43.1,100.0,35.6,83.9,93.3,96.7,
De 65 a 74 años,30.0,13.3,27.0,28.4,29.1,100.0,44.3,90.1,94.6,97.1,
De 75 años y más,10.9,4.5,9.6,10.2,10.3,100.0,41.3,88.0,93.9,95.1,
Sit. personal: Soltero en casa de sus padres,79.0,33.6,70.1,76.2,77.8,100.0,42.5,88.8,96.5,98.6,
Sit. personal: Soltero independiente divorciado separado o viudo (con o sin hijos),48.0,15.9,41.8,45.5,46.9,100.0,33.1,87.1,94.9,97.8,
Sit. personal: Casado o en pareja sin hijos,60.2,20.4,51.9,57.9,59.1,100.0,33.9,86.3,96.2,98.2,
Sit. personal: Casado o en pareja con hijos menores de 18 años,58.8,18.6,49.1,55.6,57.2,100.0,31.6,83.5,94.6,97.3,
Sit. personal: Casado o en pareja con hijos de 18 años en adelante en casa,37.6,12.3,31.9,35.8,36.4,100.0,32.7,84.8,95.0,96.8,
Sit. personal: Casado o en pareja viviendo solos (por hijos mayores),31.5,14.0,27.3,29.3,30.6,100.0,44.6,86.8,93.3,97.2,
Sit. personal: Otros,24.9,10.3,21.4,23.6,24.3,100.0,41.4,85.9,94.9,97.8,
Notas:
Fuente: Ministerio de Educación, Cultura y Deporte. Encuesta de Hábitos  Deportivos en España 2015.
