
Práctica de actividades deportivas
Personas según la frecuencia con la que practican deporte en el último año por nivel de estudios y situación laboral.
Unidades: En porcentaje

,En % de la población de cada colectivo,,,,,En % de los que practican deporte de cada colectivo,,,,,
,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,
TOTAL,53.5,19.5,46.2,51.0,52.3,100.0,36.4,86.3,95.3,97.8,
Estudios: Primera etapa de educación secundaria e inferior,38.8,15.1,33.4,36.8,37.7,100.0,38.8,85.9,94.7,97.0,
Estudios: Primera etapa de educación secundaria e inferior. Educación primaria e inferior,23.2,8.9,19.7,21.7,22.2,100.0,38.5,84.7,93.4,95.4,
Estudios: Primera etapa de educación secundaria e inferior. Primera etapa de educación secundaria,51.4,20.0,44.4,48.9,50.1,100.0,39.0,86.4,95.2,97.5,
Estudios: Segunda etapa de educación secundaria,63.1,24.3,53.7,60.2,62.2,100.0,38.6,85.2,95.3,98.6,
Estudios: Segunda etapa de educación secundaria. Orientación general,63.0,23.8,54.4,60.4,62.3,100.0,37.7,86.3,95.9,98.9,
Estudios: Segunda etapa de educación secundaria. Orientación profesional,63.2,25.3,52.6,59.6,62.1,100.0,40.1,83.2,94.4,98.3,
Estudios: Educación superior,73.4,24.0,64.1,70.3,72.0,100.0,32.6,87.3,95.8,98.0,
Estudios: Educación superior. FP superior y similares,71.4,25.0,62.6,68.0,69.7,100.0,34.9,87.6,95.2,97.6,
Estudios: Educación superior. Educación universitaria y similares,74.3,23.5,64.8,71.4,73.0,100.0,31.6,87.2,96.0,98.2,
Sit. Laboral: Trabajando,65.5,21.4,55.9,62.5,64.2,100.0,32.7,85.4,95.5,98.0,
Sit. Laboral: Parado,54.4,20.0,45.2,51.2,52.8,100.0,36.8,83.1,94.0,97.0,
Sit. Laboral: Jubilado o retirado del trabajo,23.5,10.3,20.4,22.1,22.7,100.0,43.7,86.5,94.0,96.4,
Sit. Laboral: Estudiante,85.2,36.7,78.2,82.9,84.3,100.0,43.1,91.8,97.4,99.0,
Sit. Laboral: Labores del hogar,27.8,12.5,24.7,26.1,26.9,100.0,45.0,89.1,93.9,96.8,
Sit. Laboral: Otros,38.7,14.4,32.9,35.2,37.4,100.0,37.4,85.1,91.2,96.7,
Notas:
Fuente: Ministerio de Educación, Cultura y Deporte. Encuesta de Hábitos  Deportivos en España 2015.
