
Práctica de actividades deportivas
Personas según la frecuencia con la que practican deporte en el último año por comunidad autónoma y tamaño de municipio.
Unidades: En porcentaje

,En % de la población de cada colectivo,,,,,En % de los que practican deporte de cada colectivo,,,,,
,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,Total practicaron en el último año,Todos los días,Al menos una vez a la semana,Al menos una vez al mes,Al menos una vez al trimestre,
TOTAL,53.5,19.5,46.2,51.0,52.3,100.0,36.4,86.3,95.3,97.8,
Andalucía,53.0,22.4,45.7,50.5,51.9,100.0,42.2,86.2,95.3,97.8,
Aragón,50.5,18.2,42.2,48.1,49.7,100.0,36.0,83.6,95.1,98.3,
Asturias (Principado de),48.8,17.3,40.1,45.9,46.9,100.0,35.4,82.2,94.2,96.1,
Balears (Illes),61.0,29.3,54.2,58.0,59.5,100.0,48.1,88.9,95.1,97.6,
Canarias,55.9,19.7,46.8,53.5,54.5,100.0,35.2,83.8,95.8,97.6,
Cantabria,49.6,20.0,44.2,47.0,48.2,100.0,40.2,89.0,94.7,97.0,
Castilla y León,49.6,13.2,40.9,45.7,46.6,100.0,26.6,82.5,92.2,93.9,
Castilla-La Mancha,44.3,17.7,38.6,41.3,43.2,100.0,40.1,87.2,93.3,97.4,
Cataluña,58.2,19.0,50.6,56.0,57.1,100.0,32.6,86.9,96.1,98.1,
Comunitat Valenciana,53.8,18.6,47.0,51.3,53.3,100.0,34.6,87.5,95.5,99.1,
Extremadura,47.0,21.9,41.1,45.1,45.8,100.0,46.6,87.4,95.8,97.4,
Galicia,44.3,13.2,37.4,42.3,43.1,100.0,29.7,84.4,95.5,97.3,
Madrid (Comunidad de),58.1,22.0,50.5,55.8,56.9,100.0,37.9,87.0,96.1,97.9,
Murcia (Región de),49.7,16.7,43.2,48.2,48.7,100.0,33.6,86.8,96.8,97.9,
Navarra (Comunidad Foral de),58.5,19.3,53.3,57.1,57.4,100.0,33.1,91.2,97.7,98.1,
País Vasco,54.9,19.8,46.9,50.9,54.2,100.0,36.0,85.5,92.6,98.8,
Rioja (La),52.8,15.6,45.0,48.9,51.4,100.0,29.5,85.2,92.7,97.4,
Ceuta y Melilla,51.0,23.9,46.7,50.2,50.7,100.0,46.8,91.4,98.4,99.4,
Capitales de provincia,55.6,19.5,48.1,53.1,54.4,100.0,35.0,86.6,95.5,97.8,
De más de 50.000 habitantes,56.7,20.9,49.0,54.3,55.6,100.0,36.9,86.5,95.9,98.2,
De menos de 50.001 habitantes,50.7,18.9,43.6,48.1,49.5,100.0,37.3,85.9,94.8,97.6,
Notas:
Fuente: Ministerio de Educación, Cultura y Deporte. Encuesta de Hábitos  Deportivos en España 2015.
