,Athlete Name,IDs
0,Riejanne  Markus,1646454
1,"José M. Gutierrez ""Gallu""",4106343
2,Johannes Weber #Radsyndikat,2647704
3,Sam (BigUnit) Long,6478752
4,John Kenny (French Creek Racing),777443
5,Manuel Prado (iGeniusCR.com),49435
6,Matt Rowe (Rowe & King),512006
7,Enzo Edmonds (u13),12391650
8,Guenhwyvar -,521455
9,Geoffroy Dussault - Team Gris,442229
10,michelkredercoaching.nl .,3725855
11,Red .,3264865
12,@RD_Murray  .,6049681
13,Macca .,2683308
14,Barcelofer .,3943346
15,Dexter Gardias .,404453
16,Corey Davis / Maloja Pushbikers,580379
17,Jason Lea  / Maloja Pushbikers,2392384
18,Franz Schlachter / Maloja Pushbikers,30850647
19,Laurin Winter / Maloja Pushbikers,5678008
20,Martin Kern / Team Arcteryx,3647498
21,M.V.G 99,19005138
22,Andrew Lemoncello @LemonRuns,4328340
23,Yannik Achterberg / Maloja Pushbikers,40301325
24,Erika Ackerlund,19598841
25,Pascal Ackermann,12274527
26,Roger Adrià,6390713
27,Toon Aerts,577221
28,Tim Aiken,7911
29,Honey Badger AKA Connor McCutcheon,367986
30,Nikki Johnstone aka Elvis,5995129
31,Faris Al-Sultan,9855605
32,Vincenzo Albanese🐼,3488983
33,Michael Albasini,780854
34,CJ Albertson,9583401
35,Jonathan Albon,437111
36,Megan Alderete,703497
37,Bryan Alders,153405
38,Alice Algisi,1815358
39,Bethany Allen,75059
40,Jessica Allen,11547310
41,Hillary Allen,21279725
42,Orlando Alves,607930
43,Andres Alzate,4341119
44,Sondre Amdahl,3531948
45,alena amialiusik,4601735
46,Winner Anacona,12542977
47,Julien Ancay,6577144
48,Elle Anderson,4367
49,Eddie Anderson,2346552
50,Grace Anderson,12463091
51,Ryan Anderson,13008634
52,Simon Andreassen,5181895
53,Simone Andreetta,19446526
54,Tyler Andrews,10981713
55,Justin Andrews,3184585
56,Crystal Anthony,119430
57,Jesse Anthony,153266
58,Jason Antin,814043
59,lavieu antoine,1190875
60,simone antonini,1116542
61,Dale Appleby,1424847
62,Jorge Arcas,2276607
63,Jimmy  Archer,119084
64,Katie Archibald,1693393
65,John Archibald | Ribble Weldtite,1058766
66,Nick Arciniaga,6672449
67,Marcel Aregger,4125056
68,John Arias - Global Elite Coaching,46346
69,Phounsavath Ariya,175729
70,Bruno Armirail,2192184
71,Fabio Aru,28635374
72,Alice Maria Arzuffi,2838132
73,Santiago Ascenço,733569
74,Eric Ashe,8169908
75,Strava Athlete,0
76,Strava Athlete,463703
77,Strava Athlete,374972
78,Ryan Atkins,353839
79,George Atkins,1352081
80,Sarah Attar,5696180
81,Moritz auf der Heide,3274076
82,Hendrik Auf'mkolk,2092693
83,Coree Aussem-Woltering,307920
84,Brogan Austin,3581417
85,Steph Auston,14523979
86,Eric Avila,7059429
87,Sheila Avilés Castaño,13351004
88,Philipp Baar,11372910
89,Allison Baca ,1752526
90,Elliot Bach,751177
91,Frederik Backaert,23726463
92,Elynor Backstedt,12894945
93,Chris Baddick,111848
94,Gediminas Bagdonas,10403487
95,Yoann Bagot ,1450761
96,Rahsaan Bahati,125384
97,Chris Baird,3538608
98,jan bakelants,3943249
99,Alessandro Ballan,18888902
100,Adrian Ballinger,6163411
101,Alan Banaszek,6766614
