,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
0,736041664,A Jesus Garcia,ESP,male,1969-10-17,1.72,64.0,athletics,0.0,0.0,0.0
1,435962603,Aaron Brown,CAN,male,1992-05-27,1.98,79.0,athletics,0.0,0.0,1.0
3,87689776,Aauri Lorena Bokesa,ESP,female,1988-12-14,1.8,62.0,athletics,0.0,0.0,0.0
4,997877719,Ababel Yeshaneh,ETH,female,1991-07-22,1.65,54.0,athletics,0.0,0.0,0.0
5,343694681,Abadi Hadis,ETH,male,1997-11-06,1.7,63.0,athletics,0.0,0.0,0.0
6,591319906,Abbas Abubakar Abbas,BRN,male,1996-05-17,1.75,66.0,athletics,0.0,0.0,0.0
7,376068084,Abbey D'Agostino,USA,female,1992-05-25,1.61,49.0,athletics,0.0,0.0,0.0
8,215053268,Abdalaati Iguider,MAR,male,1987-03-25,1.73,57.0,athletics,0.0,0.0,0.0
9,763711985,Abdalelah Haroun,QAT,male,1997-01-01,1.85,80.0,athletics,0.0,0.0,0.0
10,924593601,Abdalla Targan,SUD,male,1996-09-28,1.77,65.0,athletics,0.0,0.0,0.0
11,890222258,Abdelati El Guesse,MAR,male,1993-02-27,1.9,72.0,athletics,0.0,0.0,0.0
12,803161695,Abdelaziz Merzougui,ESP,male,1991-08-30,1.75,67.0,athletics,0.0,0.0,0.0
13,517007712,Abdelmajid El Hissouf,MAR,male,1992-09-23,1.7,56.0,athletics,0.0,0.0,0.0
14,512730813,Abdelmalik Lahoulou,ALG,male,1992-05-07,1.77,72.0,athletics,0.0,0.0,0.0
16,64529046,Abdi Hakin Ulad,DEN,male,1991-06-14,1.75,57.0,athletics,0.0,0.0,0.0
17,917755766,Abdi Nageeye,NED,male,1989-03-02,1.65,54.0,athletics,0.0,0.0,0.0
18,184980926,Abdi Waiss Mouhyadin,DJI,male,1996-07-03,1.6,60.0,athletics,0.0,0.0,0.0
19,469953606,Abdoullah Bamoussa,ITA,male,1986-06-08,1.75190041114664,67.71773825809393,athletics,0.0,0.0,0.0
