nationality,height,weight,gold,silver,bronze,medals
JAM,89.61380082229333,3686.435476516188,8.0,16.0,1.0,25.0
USA,227.69950205573312,9457.58869129047,25.0,9.0,9.0,43.0
KEN,78.88760164458657,2712.435476516188,5.0,6.0,1.0,12.0
JPN,89.50000000000003,3177.0,0.0,4.0,1.0,5.0
FRA,95.29,3624.0,0.0,3.0,3.0,6.0
ALG,26.02,948.0,0.0,2.0,0.0,2.0
CHN,96.66,3769.0,2.0,2.0,2.0,6.0
RSA,68.15380082229328,2560.435476516188,2.0,2.0,0.0,4.0
POL,125.26190041114666,5191.717738258094,1.0,1.0,1.0,3.0
NED,56.34,2125.0,0.0,1.0,0.0,1.0
CAN,113.74,4307.0,1.0,1.0,8.0,10.0
GRN,8.82760164458656,345.15321477428176,0.0,1.0,0.0,1.0
BUL,17.939999999999998,745.0,0.0,1.0,0.0,1.0
BRN,51.471402466879844,1834.3064295485638,1.0,1.0,0.0,2.0
BLR,63.47999999999998,2547.0,0.0,1.0,0.0,1.0
DEN,13.829999999999998,473.0,0.0,1.0,0.0,1.0
BDI,10.17,348.0,0.0,1.0,0.0,1.0
MEX,34.230000000000004,1240.0,0.0,1.0,0.0,1.0
ETH,58.103800822293294,1915.435476516188,1.0,1.0,5.0,7.0
ESP,82.35,3281.0,1.0,1.0,0.0,2.0
QAT,14.6,605.0,0.0,1.0,0.0,1.0
VEN,26.001900411146636,1006.717738258094,0.0,1.0,0.0,1.0
AUS,106.22570123343989,4043.153214774282,0.0,1.0,1.0,2.0
NZL,25.040000000000003,1070.0,0.0,1.0,3.0,4.0
GBR,139.98999999999998,5470.0,0.0,1.0,11.0,12.0
PLE,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
PLW,1.53,64.0,0.0,0.0,0.0,0.0
PHI,4.82,169.0,0.0,0.0,0.0,0.0
PNG,3.34,122.0,0.0,0.0,0.0,0.0
PRK,6.32,185.0,0.0,0.0,0.0,0.0
PER,23.25,786.0,0.0,0.0,0.0,0.0
PAR,3.38,130.0,0.0,0.0,0.0,0.0
PAN,5.25,284.0,0.0,0.0,0.0,0.0
NOR,26.278506167199595,1015.7660738714093,0.0,0.0,0.0,0.0
PAK,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
OMA,3.48190041114664,134.71773825809393,0.0,0.0,0.0,0.0
POR,39.05,1393.0,0.0,0.0,0.0,0.0
PUR,21.781900411146644,840.717738258094,0.0,0.0,0.0,0.0
AFG,3.4,123.0,0.0,0.0,0.0,0.0
NIG,3.4699999999999998,136.0,0.0,0.0,0.0,0.0
NGR,44.66380082229327,1879.0,0.0,0.0,0.0,0.0
MAR,34.8,1188.0,0.0,0.0,0.0,0.0
MAS,3.49,110.0,0.0,0.0,0.0,0.0
MAW,3.19,108.0,0.0,0.0,0.0,0.0
MDA,16.349999999999998,792.0,0.0,0.0,0.0,0.0
MDV,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
MGL,8.21,267.0,0.0,0.0,0.0,0.0
MHL,3.13,130.0,0.0,0.0,0.0,0.0
MKD,3.44,124.0,0.0,0.0,0.0,0.0
MLI,3.56,143.0,0.0,0.0,0.0,0.0
MLT,3.48190041114664,136.71773825809393,0.0,0.0,0.0,0.0
MNE,3.63,176.0,0.0,0.0,0.0,0.0
MON,1.85,73.0,0.0,0.0,0.0,0.0
MOZ,1.8,74.0,0.0,0.0,0.0,0.0
MRI,5.36,188.0,0.0,0.0,0.0,0.0
MTN,3.41,127.0,0.0,0.0,0.0,0.0
MYA,3.38,112.0,0.0,0.0,0.0,0.0
ROT,10.190000000000001,339.0,0.0,0.0,0.0,0.0
NCA,1.73,59.0,0.0,0.0,0.0,0.0
NEP,3.29,105.0,0.0,0.0,0.0,0.0
NAM,6.760000000000001,206.0,0.0,0.0,0.0,0.0
SAM,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
ROU,37.779999999999994,1322.0,0.0,0.0,0.0,0.0
TUR,54.429999999999986,2116.0,0.0,0.0,1.0,1.0
TGA,3.36,134.0,0.0,0.0,0.0,0.0
THA,6.7700000000000005,274.0,0.0,0.0,0.0,0.0
TJK,3.59,180.0,1.0,0.0,0.0,1.0
TKM,3.5999999999999996,173.0,0.0,0.0,0.0,0.0
TLS,3.15,135.43547651618786,0.0,0.0,0.0,0.0
TOG,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
TPE,10.4,389.0,0.0,0.0,0.0,0.0
TTO,41.751900411146636,1697.1532147742819,0.0,0.0,1.0,1.0
TUN,12.31,418.0,0.0,0.0,0.0,0.0
TUV,1.84,72.0,0.0,0.0,0.0,0.0
RUS,1.8,58.0,0.0,0.0,0.0,0.0
UAE,4.93190041114664,176.71773825809393,0.0,0.0,0.0,0.0
UGA,28.030406578346234,1083.4838121295031,0.0,0.0,0.0,0.0
UKR,114.8438008222933,4487.435476516188,0.0,0.0,1.0,1.0
URU,10.75,402.0,0.0,0.0,0.0,0.0
UZB,28.593800822293282,1137.435476516188,0.0,0.0,0.0,0.0
VIE,3.23,100.0,0.0,0.0,0.0,0.0
VIN,3.51,120.0,0.0,0.0,0.0,0.0
YEM,1.69,61.0,0.0,0.0,0.0,0.0
ZAM,5.21,194.0,0.0,0.0,0.0,0.0
TAN,7.00760164458656,204.0,0.0,0.0,0.0,0.0
SYR,3.7299999999999995,132.0,0.0,0.0,0.0,0.0
SWZ,3.5,139.0,0.0,0.0,0.0,0.0
SWE,28.639999999999997,1187.0,0.0,0.0,0.0,0.0
RWA,5.10380082229328,203.43547651618786,0.0,0.0,0.0,0.0
LUX,3.5300000000000002,128.0,0.0,0.0,0.0,0.0
SEN,3.55,160.0,0.0,0.0,0.0,0.0
SEY,3.49,120.0,0.0,0.0,0.0,0.0
SIN,3.46,116.0,0.0,0.0,0.0,0.0
SKN,12.40190041114664,510.71773825809396,0.0,0.0,0.0,0.0
SLE,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
SLO,17.8,664.0,0.0,0.0,0.0,0.0
SMR,1.92,75.0,0.0,0.0,0.0,0.0
SOL,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
SOM,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
SRB,21.52,906.0,0.0,0.0,1.0,1.0
SRI,5.11,182.0,0.0,0.0,0.0,0.0
SSD,5.2,190.0,0.0,0.0,0.0,0.0
STP,3.4,114.0,0.0,0.0,0.0,0.0
SUD,5.25,199.0,0.0,0.0,0.0,0.0
SUI,29.580000000000005,1052.0,0.0,0.0,0.0,0.0
SUR,3.50380082229328,135.43547651618786,0.0,0.0,0.0,0.0
SVK,28.429999999999996,1073.0,1.0,0.0,0.0,1.0
