,nationality,height,weight,gold,silver,bronze,medals,country
0,USA,36.39,1400.0,2.0,6.0,0.0,8.0,United States
1,AUS,51.10662601626016,2063.755102040817,0.0,5.0,0.0,5.0,Australia
2,GBR,42.78,1700.0,13.0,4.0,2.0,19.0,United Kingdom
3,RUS,20.623252032520334,829.5102040816327,0.0,3.0,1.0,4.0,Russian Federation
4,NZL,35.43999999999999,1443.0,0.0,3.0,0.0,3.0,New Zealand
5,NED,44.78,1865.0,2.0,3.0,1.0,6.0,Invalid Code
6,POL,29.743252032520328,1149.5102040816328,0.0,1.0,1.0,2.0,Poland
7,DEN,25.48,1018.0,0.0,1.0,6.0,7.0,Invalid Code
8,CZE,16.189999999999998,627.0,0.0,1.0,0.0,1.0,Czechia
9,SWE,6.7,229.0,1.0,1.0,0.0,2.0,Sweden
10,MEX,6.869999999999999,262.0,0.0,0.0,0.0,0.0,Mexico
11,NOR,12.226382113821144,474.28571428571433,0.0,0.0,0.0,0.0,Norway
12,NAM,5.18,190.0,0.0,0.0,0.0,0.0,Namibia
13,MAS,3.29,133.0,0.0,0.0,1.0,1.0,Invalid Code
14,PUR,1.8,66.0,0.0,0.0,0.0,0.0,Invalid Code
15,MAR,5.33,207.0,0.0,0.0,0.0,0.0,Morocco
16,LUX,5.26,182.0,0.0,0.0,0.0,0.0,Luxembourg
17,LTU,7.22,281.0,0.0,0.0,0.0,0.0,Lithuania
18,LES,1.7466260162601637,67.75510204081633,0.0,0.0,0.0,0.0,Invalid Code
19,LAT,5.48,227.0,0.0,0.0,0.0,0.0,Invalid Code
20,LAO,1.82,58.0,0.0,0.0,0.0,0.0,Lao People's Democratic Republic
21,KOS,1.75,70.0,0.0,0.0,0.0,0.0,Invalid Code
22,POR,10.71,383.0,0.0,0.0,0.0,0.0,Invalid Code
23,ALG,3.46,134.0,0.0,0.0,0.0,0.0,Invalid Code
24,ROU,1.78,70.0,0.0,0.0,0.0,0.0,Romania
25,TLS,1.65,67.75510204081633,0.0,0.0,0.0,0.0,Timor-Leste
26,UKR,11.866626016260163,418.7551020408163,0.0,0.0,0.0,0.0,Ukraine
27,UAE,1.76,60.0,0.0,0.0,0.0,0.0,Invalid Code
28,TUR,3.53,139.0,0.0,0.0,0.0,0.0,Turkey
29,TUN,1.84,75.0,0.0,0.0,0.0,0.0,Tunisia
30,TTO,1.7466260162601637,67.75510204081633,0.0,0.0,0.0,0.0,Trinidad and Tobago
31,TPE,3.22,125.75510204081631,0.0,0.0,0.0,0.0,Invalid Code
32,THA,3.22,117.0,0.0,0.0,0.0,0.0,Thailand
33,RSA,12.15,442.0,0.0,0.0,0.0,0.0,Invalid Code
34,SVK,1.86,89.0,0.0,0.0,0.0,0.0,Slovakia
35,SUI,24.930000000000003,972.0,1.0,0.0,0.0,1.0,Invalid Code
36,SRB,3.42,124.0,0.0,0.0,0.0,0.0,Serbia
37,SLO,10.43,370.0,0.0,0.0,0.0,0.0,Invalid Code
38,RWA,3.396626016260164,135.7551020408163,0.0,0.0,0.0,0.0,Rwanda
39,KAZ,5.286626016260163,207.75510204081638,0.0,0.0,0.0,0.0,Kazakhstan
40,KOR,13.78,549.0,0.0,0.0,0.0,0.0,"Korea, Republic of"
41,ISR,3.29,117.0,0.0,0.0,0.0,0.0,Israel
42,JPN,17.259999999999998,671.0,0.0,0.0,0.0,0.0,Japan
43,ECU,3.57,151.0,0.0,0.0,0.0,0.0,Ecuador
44,CYP,1.66,53.0,0.0,0.0,0.0,0.0,Cyprus
45,CUB,4.97,186.0,0.0,0.0,0.0,0.0,Cuba
46,CRO,3.5,129.0,0.0,0.0,0.0,0.0,Invalid Code
47,CRC,5.256626016260164,196.75510204081638,0.0,0.0,0.0,0.0,Invalid Code
48,COL,23.986626016260168,922.7551020408164,0.0,0.0,1.0,1.0,Colombia
49,CHN,24.340000000000003,951.0,2.0,0.0,0.0,2.0,China
50,CHI,3.44,129.0,0.0,0.0,0.0,0.0,Invalid Code
51,CAN,32.790000000000006,1263.0,0.0,0.0,6.0,6.0,Canada
52,BUL,1.75,59.0,0.0,0.0,0.0,0.0,Invalid Code
53,BRA,16.8,632.0,0.0,0.0,0.0,0.0,Brazil
54,BOL,1.68,59.0,0.0,0.0,0.0,0.0,"Bolivia, Plurinational State of"
55,BLR,6.950000000000001,249.0,0.0,0.0,0.0,0.0,Belarus
56,BEL,24.44,911.0,1.0,0.0,1.0,2.0,Belgium
