,id,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze
0,33922579,Aaron Gate,NZL,male,1990-11-26,1.81,71.0,cycling,0.0,0.0,0.0
1,285603057,Abderrahmane Mansouri,ALG,male,1995-01-13,1.72,66.0,cycling,0.0,0.0,0.0
2,184652432,Adam Yates,GBR,male,1992-08-07,1.72,58.0,cycling,0.0,0.0,0.0
3,664737236,Adrien Niyonshuti,RWA,male,1987-01-02,1.65,68.0,cycling,0.0,0.0,0.0
4,696999235,Ahmet Orken,TUR,male,1993-03-12,1.77,69.0,cycling,0.0,0.0,0.0
5,47988332,Ahreum Na,KOR,female,1990-03-24,1.63,55.0,cycling,0.0,0.0,0.0
6,275659106,Alan Hatherly,RSA,male,1996-03-15,1.78,62.0,cycling,0.0,0.0,0.0
7,813391088,Alejandro Valverde Belmonte,ESP,male,1980-04-25,1.77,63.0,cycling,0.0,0.0,0.0
8,646633611,Aleksei Kurbatov,RUS,male,1994-05-09,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
9,285964258,Aleksejs Saramotins,LAT,male,1982-04-08,1.85,75.0,cycling,0.0,0.0,0.0
10,603507285,Alena Amialiusik,BLR,female,1989-02-06,1.69,52.0,cycling,0.0,0.0,0.0
11,630246233,Alessandro De Marchi,ITA,male,1986-05-19,1.81,66.0,cycling,0.0,0.0,0.0
12,737791847,Alexander Edmondson,AUS,male,1993-12-22,1.84,76.0,cycling,0.0,1.0,0.0
13,100528515,Alexander Gehbauer,AUT,male,1990-04-24,1.85,70.0,cycling,0.0,0.0,0.0
14,194257222,Alexis Vuillermoz,FRA,male,1988-06-01,1.73,60.0,cycling,0.0,0.0,0.0
15,450635887,Alfredo Campo,ECU,male,1993-03-02,1.92,90.0,cycling,0.0,0.0,0.0
16,768503351,Ali Nouisri,TUN,male,1994-01-20,1.84,75.0,cycling,0.0,0.0,0.0
17,269057885,Alise Post,USA,female,1991-01-17,1.58,56.0,cycling,0.0,1.0,0.0
18,373002185,Allison Beveridge,CAN,female,1993-06-01,1.69,62.0,cycling,0.0,0.0,1.0
19,605176733,Amalie Dideriksen,DEN,female,1996-05-24,1.75,62.0,cycling,0.0,0.0,0.0
20,574915810,Amanda Carr,THA,female,1990-06-24,1.65,60.0,cycling,0.0,0.0,0.0
21,340529563,Amanda Spratt,AUS,female,1987-09-17,1.61,55.0,cycling,0.0,0.0,0.0
22,607523494,Amidou Mir,FRA,male,1995-01-01,1.73,78.0,cycling,0.0,0.0,0.0
23,872045656,Amy Cure,AUS,female,1992-12-31,1.72,63.0,cycling,0.0,0.0,0.0
24,491417402,An-Li Kachelhoffer,RSA,female,1987-08-16,1.6,50.0,cycling,0.0,0.0,0.0
25,543833436,Ana Sanabria,COL,female,1990-05-02,1.56,51.0,cycling,0.0,0.0,0.0
26,129887602,Anass Ait El Abdia,MAR,male,1993-03-21,1.8,66.0,cycling,0.0,0.0,0.0
27,874606295,Anastasiia Voinova,RUS,female,1993-02-05,1.62,62.0,cycling,0.0,1.0,0.0
28,222880699,Andras Parti,HUN,male,1982-09-18,1.74,67.0,cycling,0.0,0.0,0.0
29,662859051,Andre Fernando S. Martins Cardoso,POR,male,1984-09-03,1.68,57.0,cycling,0.0,0.0,0.0
30,36880136,Andrea Tiberi,ITA,male,1985-11-15,1.83,71.0,cycling,0.0,0.0,0.0
31,930021019,Andrey Amador Bikkazakova,CRC,male,1986-08-29,1.83,73.0,cycling,0.0,0.0,0.0
32,213371438,Andrey Fonseca,CRC,male,1993-04-08,1.68,56.0,cycling,0.0,0.0,0.0
33,295536761,Andrey Zeits,KAZ,male,1986-12-14,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
34,730965977,Andrii Khripta,UKR,male,1986-11-29,1.7466260162601637,67.75510204081633,cycling,0.0,0.0,0.0
35,856444352,Andriy Grivko,UKR,male,1983-08-07,1.8,69.0,cycling,0.0,0.0,0.0
36,259399361,Ane Santesteban Gonzalez,ESP,female,1990-12-12,1.6,48.0,cycling,0.0,0.0,0.0
37,283823153,Angel Pulgar,VEN,male,1989-02-07,1.74,79.0,cycling,0.0,0.0,0.0
38,697735361,Angie Sabrina Gonzalez,VEN,female,1981-01-03,1.6,57.0,cycling,0.0,0.0,0.0
39,795806548,Anisha Vekemans,BEL,female,1991-08-17,1.6,52.0,cycling,0.0,0.0,0.0
40,266461639,Ann-Sophie Duyck,BEL,female,1987-07-23,1.72,60.0,cycling,0.0,0.0,0.0
41,573321803,Anna Knauer,GER,female,1995-02-20,1.7,60.0,cycling,0.0,0.0,0.0
42,68194105,Anna Plichta,POL,female,1992-02-10,1.76,60.0,cycling,0.0,0.0,0.0
43,232686773,Anna van der Breggen,NED,female,1990-04-18,1.67,56.0,cycling,1.0,0.0,1.0
44,676612958,Anne Terpstra,NED,female,1991-01-05,1.66,57.0,cycling,0.0,0.0,0.0
45,706092659,Annemiek van Vleuten,NED,female,1982-10-08,1.68,59.0,cycling,0.0,0.0,0.0
46,297653287,Annette Edmondson,AUS,female,1991-12-12,1.71,65.0,cycling,0.0,0.0,0.0
47,614874748,Annika Langvad,DEN,female,1984-03-22,1.74,63.0,cycling,0.0,0.0,0.0
48,76732813,Anthony Dean,AUS,male,1991-04-22,1.75,87.0,cycling,0.0,0.0,0.0
49,778856814,Antoine Duchesne,CAN,male,1991-09-12,1.89,73.0,cycling,0.0,0.0,0.0
50,299113520,Anton Sintsov,RUS,male,1985-02-03,1.7,62.0,cycling,0.0,0.0,0.0
51,500105232,Antri Christoforou,CYP,female,1992-04-02,1.66,53.0,cycling,0.0,0.0,0.0
52,30042829,Ariya Phounsavath,LAO,male,1991-03-02,1.82,58.0,cycling,0.0,0.0,0.0
53,292905261,Arlenis Sierra Canadilla,CUB,female,1992-12-07,1.62,57.0,cycling,0.0,0.0,0.0
54,638975983,Artyom Zakharov,KAZ,male,1991-10-27,1.77,70.0,cycling,0.0,0.0,0.0
55,531231218,Arvin Moazami Godarzi,IRI,male,1990-03-26,1.85,73.0,cycling,0.0,0.0,0.0
56,464180251,Ashlee Ankudinoff,AUS,female,1990-08-20,1.74,67.0,cycling,0.0,0.0,0.0
57,193259308,Ashleigh Moolman-Pasio,RSA,female,1985-12-09,1.63,52.0,cycling,0.0,0.0,0.0
58,754931470,Audrey Cordon,FRA,female,1989-09-22,1.7,60.0,cycling,0.0,0.0,0.0
59,295847383,Azizulhasni Awang,MAS,male,1988-01-05,1.66,69.0,cycling,0.0,0.0,1.0
60,803535676,Bakhtiyar Kozhatayev,KAZ,male,1992-03-28,1.77,70.0,cycling,0.0,0.0,0.0
61,368675991,Baofang Zhao,CHN,female,1993-08-12,1.7,64.0,cycling,0.0,0.0,0.0
62,38294792,Bauke Mollema,NED,male,1986-11-26,1.84,68.0,cycling,0.0,0.0,0.0
63,350429572,Bayron Guama de la Cruz,ECU,male,1985-06-14,1.65,61.0,cycling,0.0,0.0,0.0
64,909285894,Beatrice Bartelloni,ITA,female,1993-02-05,1.65,50.0,cycling,0.0,0.0,0.0
65,112585422,Bobby Lea,USA,male,1983-10-17,1.88,77.0,cycling,0.0,0.0,0.0
66,903668874,Bodi Turner,AUS,male,1994-09-18,1.8,81.0,cycling,0.0,0.0,0.0
67,125216390,Brent Bookwalter,USA,male,1984-02-16,1.81,68.0,cycling,0.0,0.0,0.0
68,234656577,Brian Babilonia,PUR,male,1994-09-16,1.8,66.0,cycling,0.0,0.0,0.0
69,229593375,Brooke Crain,USA,female,1993-04-29,1.63,55.0,cycling,0.0,0.0,0.0
70,205286149,Callum Scotson,AUS,male,1996-08-10,1.84,77.0,cycling,0.0,1.0,0.0
71,598986059,Callum Skinner,GBR,male,1992-08-20,1.87,93.0,cycling,1.0,1.0,0.0
72,132849150,Carlos Alberto Ramirez Yepes,COL,male,1994-03-12,1.78,65.0,cycling,0.0,0.0,1.0
73,664891338,Carlos Coloma Nicolas,ESP,male,1981-09-28,1.71,65.0,cycling,0.0,0.0,1.0
74,120477759,Carlos Mario Oquendo Zabala,COL,male,1987-11-16,1.86,85.0,cycling,0.0,0.0,0.0
75,275280990,Carolina Rodriguez Gutierrez,MEX,female,1993-09-30,1.63,80.0,cycling,0.0,0.0,0.0
76,583629384,Casper Pedersen,DEN,male,1996-03-15,1.86,74.0,cycling,0.0,0.0,0.0
77,579676651,Casper von Folsach,DEN,male,1993-03-30,1.91,82.0,cycling,0.0,0.0,1.0
78,985557149,Catharine Pendrel,CAN,female,1980-09-30,1.66,50.0,cycling,0.0,0.0,1.0
