nationality,height,weight,gold,silver,bronze,medals
USA,36.39,1400.0,2.0,6.0,0.0,8.0
AUS,51.10662601626016,2063.7551020408164,0.0,5.0,0.0,5.0
GBR,42.78,1700.0,13.0,4.0,2.0,19.0
RUS,20.623252032520334,829.5102040816328,0.0,3.0,1.0,4.0
NZL,35.43999999999999,1443.0,0.0,3.0,0.0,3.0
NED,44.779999999999994,1865.0,2.0,3.0,1.0,6.0
POL,29.743252032520335,1149.5102040816328,0.0,1.0,1.0,2.0
DEN,25.48,1018.0,0.0,1.0,6.0,7.0
CZE,16.189999999999998,627.0,0.0,1.0,0.0,1.0
SWE,6.7,229.0,1.0,1.0,0.0,2.0
MEX,6.869999999999999,262.0,0.0,0.0,0.0,0.0
NOR,12.226382113821145,474.2857142857143,0.0,0.0,0.0,0.0
NAM,5.18,190.0,0.0,0.0,0.0,0.0
MAS,3.29,133.0,0.0,0.0,1.0,1.0
PUR,1.8,66.0,0.0,0.0,0.0,0.0
MAR,5.33,207.0,0.0,0.0,0.0,0.0
LUX,5.26,182.0,0.0,0.0,0.0,0.0
LTU,7.22,281.0,0.0,0.0,0.0,0.0
LES,1.7466260162601637,67.75510204081633,0.0,0.0,0.0,0.0
LAT,5.48,227.0,0.0,0.0,0.0,0.0
LAO,1.82,58.0,0.0,0.0,0.0,0.0
KOS,1.75,70.0,0.0,0.0,0.0,0.0
POR,10.709999999999999,383.0,0.0,0.0,0.0,0.0
ALG,3.46,134.0,0.0,0.0,0.0,0.0
ROU,1.78,70.0,0.0,0.0,0.0,0.0
TLS,1.65,67.75510204081633,0.0,0.0,0.0,0.0
UKR,11.866626016260163,418.7551020408163,0.0,0.0,0.0,0.0
UAE,1.76,60.0,0.0,0.0,0.0,0.0
TUR,3.5300000000000002,139.0,0.0,0.0,0.0,0.0
TUN,1.84,75.0,0.0,0.0,0.0,0.0
TTO,1.7466260162601637,67.75510204081633,0.0,0.0,0.0,0.0
TPE,3.22,125.75510204081633,0.0,0.0,0.0,0.0
THA,3.2199999999999998,117.0,0.0,0.0,0.0,0.0
RSA,12.15,442.0,0.0,0.0,0.0,0.0
SVK,1.86,89.0,0.0,0.0,0.0,0.0
SUI,24.930000000000003,972.0,1.0,0.0,0.0,1.0
SRB,3.42,124.0,0.0,0.0,0.0,0.0
SLO,10.43,370.0,0.0,0.0,0.0,0.0
RWA,3.3966260162601634,135.75510204081633,0.0,0.0,0.0,0.0
KAZ,5.286626016260163,207.75510204081633,0.0,0.0,0.0,0.0
KOR,13.78,549.0,0.0,0.0,0.0,0.0
ISR,3.29,117.0,0.0,0.0,0.0,0.0
JPN,17.259999999999998,671.0,0.0,0.0,0.0,0.0
ECU,3.57,151.0,0.0,0.0,0.0,0.0
CYP,1.66,53.0,0.0,0.0,0.0,0.0
CUB,4.97,186.0,0.0,0.0,0.0,0.0
CRO,3.5,129.0,0.0,0.0,0.0,0.0
CRC,5.256626016260164,196.75510204081633,0.0,0.0,0.0,0.0
COL,23.986626016260164,922.7551020408164,0.0,0.0,1.0,1.0
CHN,24.340000000000003,951.0,2.0,0.0,0.0,2.0
CHI,3.44,129.0,0.0,0.0,0.0,0.0
CAN,32.790000000000006,1263.0,0.0,0.0,6.0,6.0
BUL,1.75,59.0,0.0,0.0,0.0,0.0
BRA,16.8,632.0,0.0,0.0,0.0,0.0
BOL,1.68,59.0,0.0,0.0,0.0,0.0
BLR,6.950000000000001,249.0,0.0,0.0,0.0,0.0
BEL,24.439999999999998,911.0,1.0,0.0,1.0,2.0
AZE,5.37,214.0,0.0,0.0,0.0,0.0
AUT,7.2700000000000005,264.0,0.0,0.0,0.0,0.0
DOM,1.79,67.0,0.0,0.0,0.0,0.0
EGY,1.63,54.0,0.0,0.0,0.0,0.0
ITA,39.99662601626016,1437.7551020408164,1.0,0.0,1.0,2.0
ERI,1.7466260162601637,67.75510204081633,0.0,0.0,0.0,0.0
ARG,10.31,400.0,0.0,0.0,0.0,0.0
IRL,5.17,198.0,0.0,0.0,0.0,0.0
IRI,5.4,205.0,0.0,0.0,0.0,0.0
INA,1.64,68.0,0.0,0.0,0.0,0.0
HUN,1.74,67.0,0.0,0.0,0.0,0.0
HKG,10.229999999999999,401.0,0.0,0.0,0.0,0.0
GUM,1.7,73.0,0.0,0.0,0.0,0.0
GUA,1.71,67.0,0.0,0.0,0.0,0.0
GRE,5.3,227.0,0.0,0.0,0.0,0.0
GER,52.160000000000004,2051.0,1.0,0.0,2.0,3.0
FRA,36.56000000000001,1438.0,0.0,0.0,3.0,3.0
FIN,1.64,58.0,0.0,0.0,0.0,0.0
ETH,1.75,63.0,0.0,0.0,0.0,0.0
EST,3.63,141.0,0.0,0.0,0.0,0.0
ESP,20.950000000000003,803.0,0.0,0.0,1.0,1.0
VEN,15.399999999999999,624.0,0.0,0.0,1.0,1.0
