nationality,height,weight,gold,silver,bronze,medals
USA,1.7872509225092237,74.30093457943926,117.0,51.0,67.0,235.0
GER,1.7899311926605512,74.14418604651163,46.0,43.0,66.0,155.0
GBR,1.773763736263737,72.61095100864553,56.0,54.0,25.0,135.0
RUS,1.7803333333333327,71.63320463320463,47.0,28.0,34.0,109.0
CHN,1.7623857868020294,69.46475195822454,42.0,28.0,34.0,104.0
FRA,1.7861670761670765,73.4040404040404,18.0,53.0,21.0,92.0
AUS,1.7841888619854722,73.51358024691358,23.0,33.0,23.0,79.0
ITA,1.7786363636363642,70.73333333333333,8.0,39.0,24.0,71.0
CAN,1.7591536050156746,70.07594936708861,3.0,4.0,61.0,68.0
JPN,1.7040350877192982,64.75882352941177,14.0,12.0,35.0,61.0
SRB,1.8507920792079213,80.5049504950495,13.0,26.0,13.0,52.0
NED,1.7932921810699582,72.39166666666667,9.0,24.0,13.0,46.0
BRA,1.7653118279569902,72.9076923076923,34.0,7.0,5.0,46.0
ESP,1.7685064935064922,72.03921568627452,7.0,19.0,16.0,42.0
DEN,1.823046875,76.453125,15.0,10.0,16.0,41.0
NZL,1.775812807881774,74.47783251231527,4.0,23.0,4.0,31.0
SWE,1.7857668711656454,74.22839506172839,2.0,23.0,3.0,28.0
JAM,1.7573584905660387,72.41509433962264,8.0,16.0,1.0,25.0
CRO,1.8717045454545451,86.88372093023256,7.0,15.0,2.0,24.0
KOR,1.7313942307692314,67.93596059113301,11.0,3.0,9.0,23.0
ARG,1.7793665158371044,75.72093023255815,21.0,1.0,0.0,22.0
BEL,1.7753703703703707,69.8425925925926,2.0,17.0,2.0,21.0
RSA,1.7535714285714292,69.50359712230215,2.0,5.0,13.0,20.0
HUN,1.7948684210526311,76.25333333333333,9.0,3.0,7.0,19.0
NGR,1.7605263157894735,76.72413793103448,0.0,0.0,18.0,18.0
AZE,1.775357142857143,75.71111111111111,1.0,7.0,10.0,18.0
NOR,1.7631250000000003,72.66666666666667,0.0,0.0,18.0,18.0
ROU,1.7685714285714287,70.49484536082474,4.0,2.0,11.0,17.0
KAZ,1.7409803921568625,70.54444444444445,3.0,5.0,9.0,17.0
POL,1.811324786324787,76.78017241379311,3.0,3.0,10.0,16.0
CZE,1.8075490196078432,75.56862745098039,1.0,2.0,11.0,14.0
UKR,1.760398009950248,70.46666666666667,1.0,8.0,5.0,14.0
UZB,1.7538235294117646,75.3859649122807,4.0,2.0,7.0,13.0
FIJ,1.7704255319148932,80.7,12.0,0.0,0.0,12.0
KEN,1.7047297297297301,65.64864864864865,5.0,6.0,1.0,12.0
BLR,1.7721951219512195,73.01666666666667,1.0,4.0,7.0,12.0
SUI,1.7600000000000005,68.25490196078431,5.0,3.0,2.0,10.0
CUB,1.7696638655462196,74.47272727272727,4.0,1.0,4.0,9.0
TUR,1.7572549019607842,71.28125,1.0,3.0,4.0,8.0
IRI,1.8188888888888892,80.90322580645162,3.0,1.0,4.0,8.0
SVK,1.8037999999999994,73.14,3.0,5.0,0.0,8.0
ETH,1.7060000000000002,56.542857142857144,1.0,1.0,5.0,7.0
GEO,1.7737499999999997,84.225,2.0,1.0,4.0,7.0
BUL,1.7558,71.93617021276596,0.0,1.0,6.0,7.0
MAS,1.6941935483870967,64.58064516129032,0.0,6.0,1.0,7.0
LTU,1.8542424242424245,82.88888888888889,0.0,2.0,5.0,7.0
COL,1.709337748344371,66.36054421768708,2.0,2.0,3.0,7.0
PRK,1.609032258064516,59.193548387096776,2.0,3.0,2.0,7.0
GRE,1.79054347826087,72.95652173913044,3.0,1.0,3.0,7.0
THA,1.6968518518518518,67.87755102040816,2.0,2.0,2.0,6.0
BAH,1.7647368421052632,68.875,1.0,0.0,5.0,6.0
MEX,1.7449206349206352,69.79166666666667,0.0,3.0,2.0,5.0
TPE,1.7010714285714275,66.83018867924528,1.0,0.0,4.0,5.0
EST,1.8047826086956527,79.04347826086956,0.0,0.0,4.0,4.0
ARM,1.7168749999999997,78.70370370370371,1.0,3.0,0.0,4.0
INA,1.6828571428571428,66.25,2.0,2.0,0.0,4.0
SLO,1.7923809523809524,76.07936507936508,1.0,2.0,1.0,4.0
IRL,1.751794871794872,68.81944444444444,0.0,3.0,0.0,3.0
VEN,1.7751764705882358,76.57333333333334,0.0,1.0,2.0,3.0
EGY,1.7731355932203392,76.79824561403508,0.0,0.0,3.0,3.0
TUN,1.799655172413793,77.98214285714286,0.0,0.0,3.0,3.0
ALG,1.7563235294117643,70.31666666666666,0.0,2.0,0.0,2.0
IOA,1.7475,92.25,1.0,0.0,1.0,2.0
