,nationality,height,weight,gold,silver,bronze,medals,country
0,USA,1.7872509225092237,74.30093457943927,117.0,51.0,67.0,235.0,United States
1,GER,1.7899311926605512,74.14418604651162,46.0,43.0,66.0,155.0,Invalid Code
2,GBR,1.7737637362637368,72.61095100864553,56.0,54.0,25.0,135.0,United Kingdom
3,RUS,1.7803333333333329,71.63320463320463,47.0,28.0,34.0,109.0,Russian Federation
4,CHN,1.7623857868020294,69.46475195822454,42.0,28.0,34.0,104.0,China
5,FRA,1.7861670761670765,73.4040404040404,18.0,53.0,21.0,92.0,France
6,AUS,1.7841888619854722,73.51358024691358,23.0,33.0,23.0,79.0,Australia
7,ITA,1.7786363636363642,70.73333333333333,8.0,39.0,24.0,71.0,Italy
8,CAN,1.7591536050156746,70.07594936708861,3.0,4.0,61.0,68.0,Canada
9,JPN,1.7040350877192982,64.75882352941177,14.0,12.0,35.0,61.0,Japan
10,SRB,1.850792079207921,80.5049504950495,13.0,26.0,13.0,52.0,Serbia
11,NED,1.7932921810699582,72.39166666666667,9.0,24.0,13.0,46.0,Invalid Code
12,BRA,1.7653118279569902,72.9076923076923,34.0,7.0,5.0,46.0,Brazil
13,ESP,1.7685064935064922,72.03921568627452,7.0,19.0,16.0,42.0,Spain
14,DEN,1.823046875,76.453125,15.0,10.0,16.0,41.0,Invalid Code
15,NZL,1.7758128078817743,74.47783251231526,4.0,23.0,4.0,31.0,New Zealand
16,SWE,1.7857668711656454,74.22839506172839,2.0,23.0,3.0,28.0,Sweden
17,JAM,1.7573584905660389,72.41509433962264,8.0,16.0,1.0,25.0,Jamaica
18,CRO,1.871704545454545,86.88372093023256,7.0,15.0,2.0,24.0,Invalid Code
19,KOR,1.7313942307692314,67.935960591133,11.0,3.0,9.0,23.0,"Korea, Republic of"
20,ARG,1.7793665158371044,75.72093023255816,21.0,1.0,0.0,22.0,Argentina
21,BEL,1.7753703703703707,69.8425925925926,2.0,17.0,2.0,21.0,Belgium
22,RSA,1.7535714285714292,69.50359712230215,2.0,5.0,13.0,20.0,Invalid Code
23,HUN,1.7948684210526311,76.25333333333333,9.0,3.0,7.0,19.0,Hungary
24,NGR,1.7605263157894735,76.72413793103449,0.0,0.0,18.0,18.0,Invalid Code
25,AZE,1.775357142857143,75.71111111111111,1.0,7.0,10.0,18.0,Azerbaijan
26,NOR,1.7631250000000005,72.66666666666667,0.0,0.0,18.0,18.0,Norway
27,ROU,1.768571428571429,70.49484536082474,4.0,2.0,11.0,17.0,Romania
28,KAZ,1.7409803921568625,70.54444444444445,3.0,5.0,9.0,17.0,Kazakhstan
29,POL,1.8113247863247868,76.78017241379311,3.0,3.0,10.0,16.0,Poland
30,CZE,1.8075490196078432,75.56862745098039,1.0,2.0,11.0,14.0,Czechia
31,UKR,1.760398009950248,70.46666666666667,1.0,8.0,5.0,14.0,Ukraine
32,UZB,1.7538235294117646,75.3859649122807,4.0,2.0,7.0,13.0,Uzbekistan
33,FIJ,1.7704255319148932,80.7,12.0,0.0,0.0,12.0,Invalid Code
34,KEN,1.70472972972973,65.64864864864866,5.0,6.0,1.0,12.0,Kenya
35,BLR,1.7721951219512195,73.01666666666667,1.0,4.0,7.0,12.0,Belarus
36,SUI,1.7600000000000005,68.25490196078431,5.0,3.0,2.0,10.0,Invalid Code
37,CUB,1.7696638655462196,74.47272727272727,4.0,1.0,4.0,9.0,Cuba
38,TUR,1.7572549019607842,71.28125,1.0,3.0,4.0,8.0,Turkey
39,IRI,1.8188888888888888,80.90322580645163,3.0,1.0,4.0,8.0,Invalid Code
40,SVK,1.8037999999999996,73.14,3.0,5.0,0.0,8.0,Slovakia
41,ETH,1.7060000000000002,56.542857142857144,1.0,1.0,5.0,7.0,Ethiopia
42,GEO,1.7737499999999995,84.225,2.0,1.0,4.0,7.0,Georgia
43,BUL,1.7558,71.93617021276594,0.0,1.0,6.0,7.0,Invalid Code
44,MAS,1.694193548387097,64.58064516129032,0.0,6.0,1.0,7.0,Invalid Code
45,LTU,1.8542424242424245,82.8888888888889,0.0,2.0,5.0,7.0,Lithuania
46,COL,1.7093377483443708,66.36054421768708,2.0,2.0,3.0,7.0,Colombia
47,PRK,1.609032258064516,59.193548387096776,2.0,3.0,2.0,7.0,"Korea, Democratic People's Republic of"
48,GRE,1.79054347826087,72.95652173913044,3.0,1.0,3.0,7.0,Invalid Code
49,THA,1.6968518518518518,67.87755102040815,2.0,2.0,2.0,6.0,Thailand
50,BAH,1.7647368421052632,68.875,1.0,0.0,5.0,6.0,Invalid Code
51,MEX,1.7449206349206352,69.79166666666667,0.0,3.0,2.0,5.0,Mexico
52,TPE,1.7010714285714277,66.83018867924528,1.0,0.0,4.0,5.0,Invalid Code
53,EST,1.8047826086956529,79.04347826086956,0.0,0.0,4.0,4.0,Estonia
